nom,muscul,imatge
Press Banca,pectoral,press_banca.jpg
Press Inclinat,pectoral,press_inclinat.webp
Press Declinat,pectoral,press_declinat.webp
Push-ups,pectoral,pushups.webp
Apertures amb manuelles,pectoral,apertures_manuelles.webp
Pull-over,pectoral,pull_over.webp
Curl Bíceps,bíceps,curl_biceps.webp
Curl Concentrat,bíceps,curl_concentrat.webp
Curl Martell,bíceps,curl_martell.webp
Curl amb barra Z,bíceps,curl_barra_z.webp
Curl invers,bíceps,curl_invers.webp
Curl predicador,bíceps,curl_predicador.webp
Sentadilles,quàdriceps,sentadilles.webp
Premsa de cames,quàdriceps,premsa_cames.webp
Extensions de cames,quàdriceps,extensions_cames.webp
Zancades,quàdriceps,zancades.webp
Hack squat,quàdriceps,hack_squat.webp
Step-up,quàdriceps,step_up.webp
Dorsal amb polia,esquena,dorsal_polia.webp
Rem amb barra,esquena,rem_barra.webp
Rem amb manuelles,esquena,rem_manuelles.webp
Pull-up,esquena,pullup.webp
Dominades,esquena,dominades.webp
Pes mort,esquena,pes_mort.webp
Elevacions laterals,deltoides,elevacions_laterals.webp
Press militar,deltoides,press_militar.webp
Pàjaro amb manuelles,deltoides,pajaro_manuelles.webp
Elevació frontal,deltoides,elevacio_frontal.webp
Arnold press,deltoides,arnold_press.webp
Encolliments trapezi,trapezi,encolliments.webp
Crunch abdominal,abdominals,crunch_abdominal.webp
Planxa,abdominals,planxa.webp
Elevacions de cames,abdominals,elevacio_cames.webp
Ab wheel,abdominals,ab_wheel.webp
Russian twist,abdominals,russian_twist.webp
Hip thrust,glutis,hip_thrust.webp
Pont de glutis,glutis,pont_glutis.webp
Running,cardiovascular,running.webp

